full_pore_seed_id,status,source_pore_model_id,extxyz_path
full_pore_seed_0001_PE100_PP00_seed1,available,porems_D4p0nm_L4p0nm_silanol_rich,/home/jinhao/mlff/pepp_initial_builder/data/full_pore_seed_structures/full_pore_seed_0001_PE100_PP00_seed1/seed.extxyz
full_pore_seed_0002_PE50_PP50_seed1,available,porems_D4p0nm_L4p0nm_silanol_rich,/home/jinhao/mlff/pepp_initial_builder/data/full_pore_seed_structures/full_pore_seed_0002_PE50_PP50_seed1/seed.extxyz
full_pore_seed_0003_PE00_PP100_seed1,available,porems_D4p0nm_L4p0nm_silanol_rich,/home/jinhao/mlff/pepp_initial_builder/data/full_pore_seed_structures/full_pore_seed_0003_PE00_PP100_seed1/seed.extxyz
